description,ccap_cos,d12,farep_cap,h1_index,h1_len,h1h2_term_com_dist,h2_cterm_phi,h2_cterm_theta,h2_len,h2_nterm_phi,h2_nterm_theta,handedness,ncap_cos,r_x1,r_xr,r_y1,r_yr,r_z1,r_z2,r_zr,repeat_len,t_x1,t_xr,t_yr,t_zr
RBL_7,-0.10382681408521813,9.5,565.7298685164116,0,16,10.346259035186655,10.249645672149791,271.7320120196032,18,95.88129558156795,27.52467736745896,-1,0.912039622494764,10.0,0.0,10.0,0.0,0.0,0.0,-16.885158126550337,33,30.0,0.0,0.0,0.0
RBL_13,0.15199230287325938,9.5,570.4115914149132,0,16,9.389418312636137,15.378602004204188,266.6620979002726,18,84.63480756938358,-24.076065134392383,-1,0.912039622494764,10.0,0.0,10.0,0.0,0.0,0.0,-16.885158126550337,33,30.0,0.0,0.0,0.0
RBL_31,-0.02060818931239175,9.5,950.3861786373689,0,16,9.555300458946972,3.897180684200033,145.04108036330868,18,93.9599462258578,-20.010601312238347,-1,0.912039622494764,10.0,0.0,10.0,0.0,0.0,0.0,-16.885158126550337,33,30.0,0.0,0.0,0.0
RBL_32,0.09871654400251174,9.5,565.4744772357817,0,16,9.555300458946972,11.482111763984623,269.61822005672155,18,93.9599462258578,-20.010601312238347,-1,0.912039622494764,10.0,0.0,10.0,0.0,0.0,0.0,-16.885158126550337,33,30.0,0.0,0.0,0.0
RBL_35,-0.07582644765908574,9.5,567.7440878913742,0,16,9.887557319249376,7.993153367736899,266.5227488592986,18,97.81025959476733,16.33383289714191,-1,0.912039622494764,10.0,0.0,10.0,0.0,0.0,0.0,-16.885158126550337,33,30.0,0.0,0.0,0.0
RBL_75,0.04802658612466239,9.5,635.3243640289957,2,16,8.501651974981874,12.914495009386977,6.211181400789352,18,99.02175378587025,-42.46969107516482,-1,0.8786047325195939,10.0,0.0,10.0,0.0,240.0,0.0,-17.377350721004497,31,30.0,0.0,0.0,0.0
